epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.1463,1.61963,1.98485,1.77923,0.00709,0.42126,0.00503,0.00153,2.75276,97.7939,11.497,0.00065625,0.00065625,0.00065625
2,173.484,1.68828,1.69767,1.84437,0.06539,0.33164,0.03505,0.00901,3.03741,17.3455,4.68097,0.00129672,0.00129672,0.00129672
3,280.049,1.71172,1.6119,1.85274,0.38512,0.30315,0.2582,0.06843,2.86626,2.86274,4.52186,0.0019108,0.0019108,0.0019108
4,365.154,1.67327,1.58394,1.81721,0.18928,0.36614,0.15576,0.04536,nan,nan,nan,0.0018812,0.0018812,0.0018812
5,427.086,1.64931,1.53656,1.80948,0.38239,0.3622,0.30952,0.11073,2.47584,3.9492,3.17598,0.0018416,0.0018416,0.0018416
6,513.135,1.58203,1.47603,1.73083,0.64848,0.5748,0.5766,0.2394,1.95597,1.94288,2.36185,0.001802,0.001802,0.001802
7,603.705,1.57186,1.44572,1.72112,0.55875,0.55906,0.57394,0.24197,1.95341,1.6289,2.23048,0.0017624,0.0017624,0.0017624
8,670.825,1.53161,1.34084,1.67447,0.5833,0.60071,0.52571,0.2098,2.0956,1.76008,2.47099,0.0017228,0.0017228,0.0017228
9,748.199,1.49797,1.35704,1.66818,0.75125,0.70079,0.73097,0.36395,1.64378,1.52079,2.0022,0.0016832,0.0016832,0.0016832
10,849.979,1.46558,1.26314,1.6285,0.71309,0.69476,0.72701,0.3565,1.75475,1.39817,2.07733,0.0016436,0.0016436,0.0016436
11,926.1,1.47474,1.26256,1.62852,0.79764,0.69835,0.78894,0.37356,1.68581,1.29392,2.14223,0.001604,0.001604,0.001604
12,1017.64,1.43917,1.20216,1.58916,0.85499,0.75197,0.82019,0.43601,1.59816,1.26556,1.9157,0.0015644,0.0015644,0.0015644
13,1088.68,1.40667,1.17353,1.59038,0.78386,0.70079,0.75196,0.35799,1.7113,1.33153,1.93603,0.0015248,0.0015248,0.0015248
14,1177.6,1.42963,1.15039,1.59268,0.81078,0.75913,0.8231,0.45826,1.49542,1.16538,1.78473,0.0014852,0.0014852,0.0014852
15,1263.17,1.38111,1.12904,1.54217,0.81416,0.76378,0.86268,0.47928,1.46676,1.11539,1.75836,0.0014456,0.0014456,0.0014456
16,1327.04,1.39192,1.09922,1.56358,0.87961,0.77559,0.83705,0.4386,1.57056,1.11499,1.87025,0.001406,0.001406,0.001406
17,1386.15,1.35387,1.07759,1.54532,0.83033,0.75141,0.81092,0.43133,1.58751,1.1281,1.86459,0.0013664,0.0013664,0.0013664
18,1444.33,1.30731,1.05673,1.49734,0.89458,0.83465,0.90264,0.48572,1.54843,0.96901,1.79165,0.0013268,0.0013268,0.0013268
19,1521.58,1.31789,1.01858,1.50482,0.86668,0.82677,0.86681,0.51284,1.31503,0.90526,1.59327,0.0012872,0.0012872,0.0012872
20,1621.6,1.31865,0.99004,1.51377,0.89894,0.80546,0.88834,0.52407,1.41312,0.91531,1.65819,0.0012476,0.0012476,0.0012476
21,1690.7,1.28879,0.97155,1.46774,0.89907,0.82283,0.91297,0.51508,1.40771,0.86811,1.68563,0.001208,0.001208,0.001208
22,1751.41,1.29004,0.95609,1.46376,0.86662,0.76772,0.86813,0.52397,1.34707,0.89528,1.61523,0.0011684,0.0011684,0.0011684
23,1813.72,1.26546,0.95684,1.47143,0.93983,0.86089,0.91733,0.55912,1.3176,0.83278,1.61682,0.0011288,0.0011288,0.0011288
24,1881.43,1.27558,0.91826,1.47029,0.9586,0.83071,0.90531,0.528,1.40691,0.86282,1.66222,0.0010892,0.0010892,0.0010892
25,1950.57,1.25574,0.89042,1.4405,0.84841,0.8153,0.88596,0.53027,1.35574,0.91883,1.62605,0.0010496,0.0010496,0.0010496
26,2025.23,1.24006,0.90497,1.4282,0.88871,0.86614,0.90763,0.55749,1.30285,0.76206,1.58468,0.00101,0.00101,0.00101
27,2089.15,1.2257,0.85392,1.43624,0.92836,0.86729,0.90775,0.54314,1.42856,0.7627,1.68199,0.0009704,0.0009704,0.0009704
28,2179.28,1.23511,0.86089,1.43798,0.93114,0.8189,0.90192,0.54189,1.34034,0.80993,1.62105,0.0009308,0.0009308,0.0009308
29,2241.65,1.22311,0.88127,1.42803,0.89974,0.8937,0.92304,0.54906,1.41061,0.73719,1.66888,0.0008912,0.0008912,0.0008912
30,2298.91,1.2155,0.84369,1.41843,0.90822,0.85707,0.90986,0.57688,1.30728,0.79427,1.60098,0.0008516,0.0008516,0.0008516
31,2379.03,1.20124,0.82329,1.41744,0.93041,0.8422,0.89766,0.52292,1.425,0.84596,1.65729,0.000812,0.000812,0.000812
32,2436.88,1.19353,0.79756,1.39621,0.87647,0.89764,0.92382,0.59754,1.23567,0.72601,1.52135,0.0007724,0.0007724,0.0007724
33,2500.07,1.17865,0.78341,1.38856,0.91397,0.87832,0.91812,0.5969,1.29531,0.69964,1.54712,0.0007328,0.0007328,0.0007328
34,2574.45,1.14533,0.76355,1.37894,0.94483,0.87655,0.94306,0.58561,1.28689,0.67498,1.54999,0.0006932,0.0006932,0.0006932
35,2641.36,1.13507,0.74655,1.35531,0.91942,0.87402,0.93899,0.60064,1.23767,0.64229,1.52592,0.0006536,0.0006536,0.0006536
36,2706.38,1.1567,0.75771,1.38669,0.92408,0.88583,0.92501,0.60515,1.22154,0.68642,1.47814,0.000614,0.000614,0.000614
37,2781.74,1.13723,0.77719,1.38872,0.95375,0.89313,0.94976,0.60778,1.26044,0.65773,1.5139,0.0005744,0.0005744,0.0005744
38,2838.78,1.13969,0.7424,1.36249,0.92172,0.85039,0.91854,0.59492,1.23141,0.70348,1.50351,0.0005348,0.0005348,0.0005348
39,2901.46,1.10272,0.71515,1.34412,0.90894,0.86456,0.91712,0.58797,1.29389,0.67574,1.56846,0.0004952,0.0004952,0.0004952
40,2981.97,1.13299,0.71518,1.37333,0.91008,0.83675,0.90967,0.5851,1.23182,0.71127,1.52229,0.0004556,0.0004556,0.0004556
41,3040.08,0.98992,0.59712,1.34346,0.92336,0.90124,0.93982,0.62683,1.18823,0.65685,1.45698,0.000416,0.000416,0.000416
42,3116.96,0.97916,0.53493,1.32923,0.92537,0.87868,0.92562,0.60238,1.19259,0.68121,1.48452,0.0003764,0.0003764,0.0003764
43,3177.63,0.95391,0.51137,1.31879,0.94201,0.89542,0.94692,0.63461,1.14679,0.60791,1.43224,0.0003368,0.0003368,0.0003368
44,3236.62,0.92526,0.49952,1.2873,0.92437,0.91339,0.94697,0.62393,1.19666,0.60808,1.48104,0.0002972,0.0002972,0.0002972
45,3296.24,0.9353,0.48675,1.29258,0.93918,0.91185,0.94524,0.62922,1.19094,0.59409,1.46611,0.0002576,0.0002576,0.0002576
46,3374.79,0.90285,0.47143,1.28201,0.93698,0.878,0.93012,0.63837,1.12662,0.62945,1.42963,0.000218,0.000218,0.000218
47,3435.43,0.90028,0.45441,1.27515,0.93733,0.88326,0.93338,0.63622,1.16555,0.60544,1.44414,0.0001784,0.0001784,0.0001784
48,3498.69,0.88419,0.46192,1.25867,0.92245,0.87795,0.92852,0.62654,1.15887,0.61266,1.4504,0.0001388,0.0001388,0.0001388
49,3553.47,0.87198,0.44565,1.24301,0.91001,0.90551,0.93057,0.6337,1.16349,0.59903,1.46545,9.92e-05,9.92e-05,9.92e-05
50,3629.33,0.85092,0.43254,1.24755,0.92355,0.8937,0.93203,0.62873,1.16439,0.59321,1.46872,5.96e-05,5.96e-05,5.96e-05
